RegistroANS;RazaoSocial;Trimestre;Ano;ValorDespesas
316903;NÃO INFORMADA;1;2025;124876.67
318213;NÃO INFORMADA;1;2025;28981303.41
312720;NÃO INFORMADA;1;2025;274853599.89
314099;NÃO INFORMADA;1;2025;69998346.13
315648;NÃO INFORMADA;1;2025;13412591.26
313211;NÃO INFORMADA;1;2025;42195515.23
314251;NÃO INFORMADA;1;2025;18324313.74
315494;NÃO INFORMADA;1;2025;12952896.53
315796;NÃO INFORMADA;1;2025;133644412.24
317144;NÃO INFORMADA;1;2025;792277812.30
317896;NÃO INFORMADA;1;2025;11493132.70
314366;NÃO INFORMADA;1;2025;850647.13
316849;NÃO INFORMADA;1;2025;1680720.58
316997;NÃO INFORMADA;1;2025;2040300.85
313084;NÃO INFORMADA;1;2025;22146709.68
314668;NÃO INFORMADA;1;2025;60094042.62
315044;NÃO INFORMADA;1;2025;57981831.52
314315;NÃO INFORMADA;1;2025;3094992.22
318299;NÃO INFORMADA;1;2025;65894151.87
316873;NÃO INFORMADA;1;2025;35368226.86
313475;NÃO INFORMADA;1;2025;3534694.43
314218;NÃO INFORMADA;1;2025;170402869.56
315567;NÃO INFORMADA;1;2025;47503161.46
319121;NÃO INFORMADA;1;2025;189101833.39
322831;NÃO INFORMADA;1;2025;21645298.81
322890;NÃO INFORMADA;1;2025;1242947.50
323055;NÃO INFORMADA;1;2025;17601105.05
319996;NÃO INFORMADA;1;2025;506383255.89
320706;NÃO INFORMADA;1;2025;122647658.40
321273;NÃO INFORMADA;1;2025;221913548.11
323942;NÃO INFORMADA;1;2025;10460650.75
318477;NÃO INFORMADA;1;2025;27889251.51
321044;NÃO INFORMADA;1;2025;287265108.27
320862;NÃO INFORMADA;1;2025;33090223.28
322326;NÃO INFORMADA;1;2025;2764959.01
324299;NÃO INFORMADA;1;2025;9081885.48
319180;NÃO INFORMADA;1;2025;16802788.61
321320;NÃO INFORMADA;1;2025;7511771.86
323357;NÃO INFORMADA;1;2025;35821345.37
324175;NÃO INFORMADA;1;2025;13782307.32
319708;NÃO INFORMADA;1;2025;102601562.28
323080;NÃO INFORMADA;1;2025;1387982243.65
323993;NÃO INFORMADA;1;2025;44654425.80
318566;NÃO INFORMADA;1;2025;38006431.50
321087;NÃO INFORMADA;1;2025;15563948.53
321338;NÃO INFORMADA;1;2025;435104.41
315265;NÃO INFORMADA;1;2025;20968067.65
315729;NÃO INFORMADA;1;2025;212993994.99
317012;NÃO INFORMADA;1;2025;21282809.76
318035;NÃO INFORMADA;1;2025;18628647.46
314706;NÃO INFORMADA;1;2025;2792753.14
317233;NÃO INFORMADA;1;2025;73729480.32
313751;NÃO INFORMADA;1;2025;9344133.73
316148;NÃO INFORMADA;1;2025;50057594.62
312851;NÃO INFORMADA;1;2025;301693234.82
313149;NÃO INFORMADA;1;2025;2180741.77
315583;NÃO INFORMADA;1;2025;11901734.35
316881;NÃO INFORMADA;1;2025;46532326.57
314242;NÃO INFORMADA;1;2025;11387221.89
317632;NÃO INFORMADA;1;2025;89170095.57
315478;NÃO INFORMADA;1;2025;422956429.87
314781;NÃO INFORMADA;1;2025;9945343.15
314587;NÃO INFORMADA;1;2025;11659902.99
316458;NÃO INFORMADA;1;2025;6654769.02
334511;NÃO INFORMADA;1;2025;3558328.1
334847;NÃO INFORMADA;1;2025;5515591.85
335789;NÃO INFORMADA;1;2025;8912861.49
337498;NÃO INFORMADA;1;2025;23952874.55
333239;NÃO INFORMADA;1;2025;327877.36
335215;NÃO INFORMADA;1;2025;56805736.98
331872;NÃO INFORMADA;1;2025;215040711.71
333051;NÃO INFORMADA;1;2025;78066955.42
336467;NÃO INFORMADA;1;2025;7370277.06
333689;NÃO INFORMADA;1;2025;363308049.22
335517;NÃO INFORMADA;1;2025;27586214.64
335592;NÃO INFORMADA;1;2025;299734777.86
335614;NÃO INFORMADA;1;2025;345032702.53
337188;NÃO INFORMADA;1;2025;92982196.67
336017;NÃO INFORMADA;1;2025;947877.20
334154;NÃO INFORMADA;1;2025;30966921.75
335690;NÃO INFORMADA;1;2025;923844586.96
337561;NÃO INFORMADA;1;2025;5641534.23
334561;NÃO INFORMADA;1;2025;239081055.09
335100;NÃO INFORMADA;1;2025;448501498.21
335258;NÃO INFORMADA;1;2025;5628714.22
336831;NÃO INFORMADA;1;2025;34333309.11
333808;NÃO INFORMADA;1;2025;14566500.35
335541;NÃO INFORMADA;1;2025;23947112.27
331651;NÃO INFORMADA;1;2025;36739413.09
337374;NÃO INFORMADA;1;2025;82537167.35
331988;NÃO INFORMADA;1;2025;140352163.26
333867;NÃO INFORMADA;1;2025;5039987.52
336106;NÃO INFORMADA;1;2025;118770069.30
334243;NÃO INFORMADA;1;2025;1816554.71
333662;NÃO INFORMADA;1;2025;64556993.27
335479;NÃO INFORMADA;1;2025;123120657.41
335754;NÃO INFORMADA;1;2025;28802240.40
336858;NÃO INFORMADA;1;2025;1979339888.17
335657;NÃO INFORMADA;1;2025;6611832.81
333875;NÃO INFORMADA;1;2025;14148428.74
343404;NÃO INFORMADA;1;2025;460409.40
339679;NÃO INFORMADA;1;2025;2896548825.54
340952;NÃO INFORMADA;1;2025;104917086.28
342033;NÃO INFORMADA;1;2025;206080753.76
343765;NÃO INFORMADA;1;2025;8901256.83
344141;NÃO INFORMADA;1;2025;5273070.97
338648;NÃO INFORMADA;1;2025;61664965.10
340251;NÃO INFORMADA;1;2025;31286234.62
342556;NÃO INFORMADA;1;2025;57045378.01
343463;NÃO INFORMADA;1;2025;19429267.27
344184;NÃO INFORMADA;1;2025;1169155.97
343722;NÃO INFORMADA;1;2025;5755894.16
342131;NÃO INFORMADA;1;2025;8512499.56
343056;NÃO INFORMADA;1;2025;1313440.49
343269;NÃO INFORMADA;1;2025;342793864.61
342343;NÃO INFORMADA;1;2025;35999543.11
339458;NÃO INFORMADA;1;2025;1141034.27
342611;NÃO INFORMADA;1;2025;92423546.79
343676;NÃO INFORMADA;1;2025;14778747.46
337871;NÃO INFORMADA;1;2025;53296062.24
339954;NÃO INFORMADA;1;2025;219415622.55
341819;NÃO INFORMADA;1;2025;749489.23
320820;NÃO INFORMADA;1;2025;13366635.25
322571;NÃO INFORMADA;1;2025;44969157.48
320251;NÃO INFORMADA;1;2025;66601834.23
321931;NÃO INFORMADA;1;2025;10504229.99
324213;NÃO INFORMADA;1;2025;1122798.07
319384;NÃO INFORMADA;1;2025;71362111.06
320897;NÃO INFORMADA;1;2025;28035998.59
319872;NÃO INFORMADA;1;2025;1143068.51
321125;NÃO INFORMADA;1;2025;4820068.42
323004;NÃO INFORMADA;1;2025;6739741.72
323926;NÃO INFORMADA;1;2025;27208977.73
318388;NÃO INFORMADA;1;2025;37737143.76
320838;NÃO INFORMADA;1;2025;12516068.23
323268;NÃO INFORMADA;1;2025;117758420.67
324159;NÃO INFORMADA;1;2025;22547755.43
321958;NÃO INFORMADA;1;2025;88585058.24
319422;NÃO INFORMADA;1;2025;20920574.61
000884;NÃO INFORMADA;1;2025;82496679.61
000477;NÃO INFORMADA;1;2025;126418012.35
005711;NÃO INFORMADA;1;2025;11704703912.18
000701;NÃO INFORMADA;1;2025;1392803029.08
000515;NÃO INFORMADA;1;2025;10901022.77
000582;NÃO INFORMADA;1;2025;1455517496.25
325465;NÃO INFORMADA;1;2025;8953000.41
329886;NÃO INFORMADA;1;2025;26601505.08
330809;NÃO INFORMADA;1;2025;29234142.76
325031;NÃO INFORMADA;1;2025;30811957.89
327689;NÃO INFORMADA;1;2025;284545296.06
331341;NÃO INFORMADA;1;2025;60726137.60
324493;NÃO INFORMADA;1;2025;54594980.07
327468;NÃO INFORMADA;1;2025;6188218.35
328308;NÃO INFORMADA;1;2025;10706354.01
330264;NÃO INFORMADA;1;2025;40479336.99
326755;NÃO INFORMADA;1;2025;56745374.29
330892;NÃO INFORMADA;1;2025;7692776.98
324345;NÃO INFORMADA;1;2025;42722340.75
327352;NÃO INFORMADA;1;2025;9815246.14
329339;NÃO INFORMADA;1;2025;113091869.53
324523;NÃO INFORMADA;1;2025;190.4
325236;NÃO INFORMADA;1;2025;22391443.44
326305;NÃO INFORMADA;1;2025;6235492926.90
327557;NÃO INFORMADA;1;2025;29834612.24
330281;NÃO INFORMADA;1;2025;12794820.55
325082;NÃO INFORMADA;1;2025;5457657.75
418072;NÃO INFORMADA;1;2025;707427.06
415944;NÃO INFORMADA;1;2025;22787.51
416410;NÃO INFORMADA;1;2025;5965.44
417211;NÃO INFORMADA;1;2025;16861481.50
417424;NÃO INFORMADA;1;2025;0
417491;NÃO INFORMADA;1;2025;731480.22
417599;NÃO INFORMADA;1;2025;24834735.25
417947;NÃO INFORMADA;1;2025;34067075.40
416738;NÃO INFORMADA;1;2025;24223149.10
417106;NÃO INFORMADA;1;2025;644021.52
417611;NÃO INFORMADA;1;2025;0
416525;NÃO INFORMADA;1;2025;2673314.30
417220;NÃO INFORMADA;1;2025;599121.58
417718;NÃO INFORMADA;1;2025;0
417505;NÃO INFORMADA;1;2025;152899895.43
417955;NÃO INFORMADA;1;2025;16344314.39
418137;NÃO INFORMADA;1;2025;6764185.67
415987;NÃO INFORMADA;1;2025;1037801.66
416568;NÃO INFORMADA;1;2025;77899090.92
417131;NÃO INFORMADA;1;2025;393855.93
418129;NÃO INFORMADA;1;2025;1396634.04
417475;NÃO INFORMADA;1;2025;2226650.58
418021;NÃO INFORMADA;1;2025;88877031.60
415910;NÃO INFORMADA;1;2025;625321.19
416584;NÃO INFORMADA;1;2025;13862037.62
416801;NÃO INFORMADA;1;2025;20995241.60
417297;NÃO INFORMADA;1;2025;35117120.68
417530;NÃO INFORMADA;1;2025;80572852.68
417815;NÃO INFORMADA;1;2025;18743353.83
416398;NÃO INFORMADA;1;2025;16536998.97
416428;NÃO INFORMADA;1;2025;1146729003.21
417661;NÃO INFORMADA;1;2025;16601922.66
417548;NÃO INFORMADA;1;2025;46401417.28
417831;NÃO INFORMADA;1;2025;812191.25
416690;NÃO INFORMADA;1;2025;20674984.46
417173;NÃO INFORMADA;1;2025;66245.9
416401;NÃO INFORMADA;1;2025;54332102.68
416495;NÃO INFORMADA;1;2025;19633846.16
415936;NÃO INFORMADA;1;2025;9633222.16
419281;NÃO INFORMADA;1;2025;565011.68
419419;NÃO INFORMADA;1;2025;10162139.21
419567;NÃO INFORMADA;1;2025;0
419753;NÃO INFORMADA;1;2025;2273131.11
419052;NÃO INFORMADA;1;2025;14766359.19
419141;NÃO INFORMADA;1;2025;32497070.32
419524;NÃO INFORMADA;1;2025;336981.28
418617;NÃO INFORMADA;1;2025;11350669.78
418218;NÃO INFORMADA;1;2025;1229820.98
418501;NÃO INFORMADA;1;2025;3144263.83
418161;NÃO INFORMADA;1;2025;0
418803;NÃO INFORMADA;1;2025;29800436.61
419010;NÃO INFORMADA;1;2025;109419425.89
419079;NÃO INFORMADA;1;2025;0
419427;NÃO INFORMADA;1;2025;14698496.26
418650;NÃO INFORMADA;1;2025;39977516.03
419150;NÃO INFORMADA;1;2025;14399546.91
418226;NÃO INFORMADA;1;2025;2646710.51
418994;NÃO INFORMADA;1;2025;152781.96
419257;NÃO INFORMADA;1;2025;0
419591;NÃO INFORMADA;1;2025;1731694.46
419851;NÃO INFORMADA;1;2025;3275601.67
418820;NÃO INFORMADA;1;2025;13556465.64
419354;NÃO INFORMADA;1;2025;265778.45
418285;NÃO INFORMADA;1;2025;38068396.05
418552;NÃO INFORMADA;1;2025;32296.83
419249;NÃO INFORMADA;1;2025;133089721.88
419486;NÃO INFORMADA;1;2025;20412618.43
419699;NÃO INFORMADA;1;2025;11436914.03
418731;NÃO INFORMADA;1;2025;17734440.41
419133;NÃO INFORMADA;1;2025;550344958.52
418919;NÃO INFORMADA;1;2025;15218872.76
418374;NÃO INFORMADA;1;2025;54801832.55
418587;NÃO INFORMADA;1;2025;17831881.82
419028;NÃO INFORMADA;1;2025;701051.50
419516;NÃO INFORMADA;1;2025;8957196.74
418170;NÃO INFORMADA;1;2025;94917219.12
418749;NÃO INFORMADA;1;2025;2059898.74
415901;NÃO INFORMADA;1;2025;352055.78
411752;NÃO INFORMADA;1;2025;60282432.86
414310;NÃO INFORMADA;1;2025;39736113.63
415243;NÃO INFORMADA;1;2025;1119774.42
412252;NÃO INFORMADA;1;2025;5911060.17
413372;NÃO INFORMADA;1;2025;5546310.35
413747;NÃO INFORMADA;1;2025;1091570.67
413160;NÃO INFORMADA;1;2025;11894959.84
413283;NÃO INFORMADA;1;2025;1068146.78
414573;NÃO INFORMADA;1;2025;19058690.50
414689;NÃO INFORMADA;1;2025;2205419.88
413429;NÃO INFORMADA;1;2025;4835841.78
414352;NÃO INFORMADA;1;2025;31271529.59
415014;NÃO INFORMADA;1;2025;30601467.25
411809;NÃO INFORMADA;1;2025;3406579.85
414026;NÃO INFORMADA;1;2025;1944122.38
415626;NÃO INFORMADA;1;2025;6299224.36
411256;NÃO INFORMADA;1;2025;123974482.73
412295;NÃO INFORMADA;1;2025;21205476.11
413267;NÃO INFORMADA;1;2025;765654.5
414701;NÃO INFORMADA;1;2025;2036373.55
