RegistroANS;CNPJ;RazaoSocial;Modalidade;UF;Trimestre;Ano;ValorDespesas;cnpj_valido;valor_positivo;razao_social_nao_vazia;erros
316903;93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;Medicina de Grupo;RS;1;2025;124876.67;1;1;1;
318213;85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;Cooperativa Médica;SC;1;2025;28981303.41;1;1;1;
312720;78339439000130;UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;Cooperativa Médica;PR;1;2025;274853599.89;1;1;1;
314099;02597394000132;UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MT;1;2025;69998346.13;1;1;1;
315648;64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;Cooperativa Médica;MG;1;2025;13412591.26;1;1;1;
313211;87306361000149;UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;Cooperativa Médica;RS;1;2025;42195515.23;1;1;1;
314251;02172353000102;CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE;Autogestão;RN;1;2025;18324313.74;1;1;1;
315494;41905498000119;UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA;Cooperativa Médica;MG;1;2025;12952896.53;1;1;1;
315796;44863959000126;UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;Cooperativa Médica;SP;1;2025;133644412.24;1;1;1;
317144;05868278000107;UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;Cooperativa Médica;CE;1;2025;792277812.30;1;1;1;
317896;71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;Cooperativa Médica;MG;1;2025;11493132.70;1;1;1;
314366;00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;Odontologia de Grupo;SP;1;2025;850647.13;1;1;1;
316849;42465310000121;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;Autogestão;RJ;1;2025;1680720.58;1;1;1;
316997;65442162000125;UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA;Cooperativa odontológica;SP;1;2025;2040300.85;1;1;1;
313084;25064148000110;COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA;Cooperativa Médica;TO;1;2025;22146709.68;1;1;1;
314668;17505793000101;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;Autogestão;MG;1;2025;60094042.62;1;1;1;
315044;82956996000178;FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS;Autogestão;SC;1;2025;57981831.52;1;1;1;
314315;44595858000111;UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS;Cooperativa odontológica;SP;1;2025;3094992.22;1;1;1;
318299;83506030000100;BENEFICENCIA CAMILIANA DO SUL;Filantropia;SP;1;2025;65894151.87;1;1;1;
316873;73395469000140;CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE;Autogestão;MG;1;2025;35368226.86;1;1;1;
313475;69612158000119;UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PI;1;2025;3534694.43;1;1;1;
314218;60975174000100;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;Filantropia;SP;1;2025;170402869.56;1;1;1;
315567;00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;Autogestão;MG;1;2025;47503161.46;1;1;1;
319121;25250820000162;UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA;Cooperativa Médica;MG;1;2025;189101833.39;1;1;1;
322831;23802218000165;UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;MG;1;2025;21645298.81;1;1;1;
322890;02156150000114;DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.;Odontologia de Grupo;SP;1;2025;1242947.50;1;1;1;
323055;69087922000184;UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;1;2025;17601105.05;1;1;1;
319996;43643139000166;UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;Cooperativa Médica;SP;1;2025;506383255.89;1;1;1;
320706;32440968000125;UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;ES;1;2025;122647658.40;1;1;1;
321273;82602327000106;UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SC;1;2025;221913548.11;1;1;1;
323942;26150979000178;FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;Filantropia;MG;1;2025;10460650.75;1;1;1;
318477;02888465000156;OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.;Medicina de Grupo;SP;1;2025;27889251.51;1;1;1;
321044;08680639000177;UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PB;1;2025;287265108.27;1;1;1;
320862;81076069000109;UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PR;1;2025;33090223.28;1;1;1;
322326;25335803000128;ASSOCIAÇÃO BENEFICENTE CATÓLICA;Filantropia;MG;1;2025;2764959.01;1;1;1;
324299;68682715000105;PLAMER PLANO MEDICO RESENDE LTDA;Medicina de Grupo;RJ;1;2025;9081885.48;1;1;1;
319180;00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;Medicina de Grupo;SP;1;2025;16802788.61;1;1;1;
321320;72127210000156;IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI;Filantropia;SP;1;2025;7511771.86;1;1;1;
323357;27626696000112;UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.;Cooperativa Médica;RJ;1;2025;35821345.37;1;1;1;
324175;71064539000152;UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MG;1;2025;13782307.32;1;1;1;
319708;87497368000195;UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;Cooperativa Médica;RS;1;2025;102601562.28;1;1;1;
323080;03658432000182;GEAP AUTOGESTÃO EM SAÚDE;Autogestão;DF;1;2025;1387982243.65;1;1;1;
323993;28806545000109;UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;RJ;1;2025;44654425.80;1;1;1;
318566;35642768000143;UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;AL;1;2025;38006431.50;1;1;1;
321087;00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;Cooperativa Médica;RJ;1;2025;15563948.53;1;1;1;
321338;;;;;1;2025;435104.41;0;1;0;cnpj_invalido,razao_social_vazia
315265;82353079000107;PARANA ASSISTENCIA MEDICA LTDA;Medicina de Grupo;PR;1;2025;20968067.65;1;1;1;
315729;44803922000102;UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS;Cooperativa Médica;SP;1;2025;212993994.99;1;1;1;
317012;85177194000158;COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA;Cooperativa Médica;SC;1;2025;21282809.76;1;1;1;
318035;26291484000169;UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;MG;1;2025;18628647.46;1;1;1;
314706;22263081000155;HOSPITAL CESAR LEITE;Filantropia;MG;1;2025;2792753.14;1;1;1;
